BOARD,LEVEL,STREAM,SUBJECT,CATEGORY
,,,,
STATE,10TH,GENERAL,MATHEMATICS,MATHEMATICS
STATE,10TH,GENERAL,SCIENCE,SCIENCE
STATE,10TH,GENERAL,SOCIAL,HUMANITIES
STATE,10TH,GENERAL,ENGLISH,LANGUAGES
STATE,10TH,GENERAL,HINDI,LANGUAGES
STATE,10TH,GENERAL,TELUGU,LANGUAGES
,,,,
CBSE,10TH,GENERAL,MATHEMATICS,MATHEMATICS
CBSE,10TH,GENERAL,SCIENCE,SCIENCE
CBSE,10TH,GENERAL,SOCIAL SCIENCE,HUMANITIES
CBSE,10TH,GENERAL,ENGLISH,LANGUAGES
CBSE,10TH,GENERAL,HINDI,LANGUAGES
,,,,
ICSE,10TH,GENERAL,ENGLISH,LANGUAGES
ICSE,10TH,GENERAL,HINDI,LANGUAGES
ICSE,10TH,GENERAL,TELUGU,LANGUAGES
ICSE,10TH,GENERAL,HISTORY,HUMANITIES
ICSE,10TH,GENERAL,CIVICS,HUMANITIES
ICSE,10TH,GENERAL,GEOGRAPHY,HUMANITIES
ICSE,10TH,GENERAL,MATHEMATICS,MATHEMATICS
ICSE,10TH,GENERAL,PHYSICS,SCIENCE
ICSE,10TH,GENERAL,CHEMISTRY,SCIENCE
ICSE,10TH,GENERAL,BIOLOGY,SCIENCE
ICSE,10TH,GENERAL,COMPUTER APPLICATIONS,SOFTWARE
,,,,
STATE,INTER,MPC,MATHS,MATHEMATICS
STATE,INTER,MPC,PHYSICS,SCIENCE
STATE,INTER,MPC,CHEMISTRY,SCIENCE
STATE,INTER,MPC,ENGLISH,LANGUAGES
STATE,INTER,MPC,SANSKRIT,LANGUAGES
,,,,
STATE,INTER,CEC,ECONOMICS,BUSINESS
STATE,INTER,CEC,CIVICS,HUMANITIES
STATE,INTER,CEC,COMMERCE,BUSINESS
STATE,INTER,CEC,ENGLISH,LANGUAGES
,,,,
STATE,INTER,HEC,HISTORY,HUMANITIES
STATE,INTER,HEC,ECONOMICS,BUSINESS
STATE,INTER,HEC,CIVICS,HUMANITIES
STATE,INTER,HEC,ENGLISH,LANGUAGES
,,,,
STATE,INTER,MEC,MATHEMATICS,MATHEMATICS
STATE,INTER,MEC,ECONOMICS,BUSINESS
STATE,INTER,MEC,COMMERCE,BUSINESS
,,,,
CBSE,INTER,MPC,MATHEMATICS,MATHEMATICS
CBSE,INTER,MPC,PHYSICS,SCIENCE
CBSE,INTER,MPC,CHEMISTRY,SCIENCE
CBSE,INTER,MPC,COMPUTER SCIENCE,PROGRAMMING
,,,,
CBSE,INTER,CEC,ACCOUNTANCY,BUSINESS
CBSE,INTER,CEC,BUSINESS STUDIES,BUSINESS
CBSE,INTER,CEC,ECONOMICS,BUSINESS
,,,,
CBSE,INTER,HEC,POLITICAL SCIENCE,HUMANITIES
CBSE,INTER,HEC,GEOGRAPHY,HUMANITIES
,,,,
CBSE,INTER,MBIPC,BIOLOGY,SCIENCE
CBSE,INTER,MBIPC,PSYCHOLOGY,HUMANITIES
CBSE,INTER,MBIPC,ENVIRONMENTAL SCIENCE,INTERDISCIPLINARY
,,,,
ISC,INTER,MPC,ENGINEERING SCIENCE,CORE_ENGINEERING
ISC,INTER,MPC,BIOTECHNOLOGY,INTERDISCIPLINARY
,,,,
CSE,BTECH,NA,DATA STRUCTURES,PROGRAMMING
CSE,BTECH,NA,OPERATING SYSTEMS,SOFTWARE
CSE,BTECH,NA,DBMS,DATA
CSE,BTECH,NA,MACHINE LEARNING,AI
CSE,BTECH,NA,COMPUTER NETWORKS,NETWORKS
,,,,
ECE,BTECH,NA,DIGITAL ELECTRONICS,HARDWARE
ECE,BTECH,NA,SIGNALS AND SYSTEMS,CORE_ENGINEERING
ECE,BTECH,NA,COMMUNICATION SYSTEMS,NETWORKS
,,,,
MECH,BTECH,NA,THERMODYNAMICS,CORE_ENGINEERING
MECH,BTECH,NA,FLUID MECHANICS,CORE_ENGINEERING
MECH,BTECH,NA,ROBOTICS,INTERDISCIPLINARY
,,,,
CIVIL,BTECH,NA,STRUCTURAL ENGINEERING,CORE_ENGINEERING
CIVIL,BTECH,NA,ENVIRONMENTAL ENGINEERING,INTERDISCIPLINARY
,,,,
EEE,BTECH,NA,POWER SYSTEMS,CORE_ENGINEERING
EEE,BTECH,NA,POWER ELECTRONICS,HARDWARE
EEE,BTECH,NA,CONTROL SYSTEMS,CORE_ENGINEERING
